time,SSR
1671148800,2.86
1671408000,2.75
1671494400,2.71
1671580800,2.79
1671667200,2.78
1671753600,2.78
1672099200,2.79
1672185600,2.76
1672272000,2.73
1672358400,2.74
1672704000,2.75
1672790400,2.75
1672876800,2.79
1672963200,2.78
1673222400,2.84
1673308800,2.85
1673395200,2.9
1673481600,2.98
1673568000,3.13
1673913600,3.51
1674000000,3.5
1674086400,3.44
1674172800,3.52
1674432000,3.78
1674518400,3.8
1674604800,3.75
1674691200,3.81
1674777600,3.8
1675036800,3.92
1675123200,3.77
1675209600,3.83
1675296000,3.95
1675382400,3.9
1675641600,3.82
1675728000,3.79
1675814400,3.87
1675900800,3.83
1675987200,3.64
1676246400,3.66
1676332800,3.67
1676419200,3.73
1676505600,4.06
1676592000,3.89
1676937600,4.08
1677024000,4.01
1677110400,3.96
1677196800,3.92
1677456000,3.83
1677542400,3.82
1677628800,3.76
1677715200,3.85
1677801600,3.81
1678060800,3.59
1678147200,3.59
1678233600,3.56
1678320000,3.48
1678406400,3.27
1678665600,3.59
1678752000,3.89
1678838400,4.02
1678924800,3.97
1679011200,4.11
1679270400,4.58
1679356800,4.55
1679443200,4.62
1679529600,4.46
1679616000,4.65
1679875200,4.57
1679961600,4.44
1680048000,4.46
1680134400,4.64
1680220800,4.58
1680480000,4.64
1680566400,4.57
1680652800,4.62
1680739200,4.62
1681084800,4.64
1681171200,4.86
1681257600,4.95
1681344000,4.9
1681430400,4.99
1681689600,4.97
1681776000,4.83
1681862400,4.99
1681948800,4.75
1682035200,4.65
1682294400,4.56
1682380800,4.55
1682467200,4.67
1682553600,4.69
1682640000,4.87
1682899200,4.83
1682985600,4.64
1683072000,4.74
1683158400,4.81
1683244800,4.77
1683504000,4.71
1683590400,4.59
1683676800,4.56
1683763200,4.55
1683849600,4.44
1684108800,4.43
1684195200,4.48
1684281600,4.46
1684368000,4.53
1684454400,4.44
1684713600,4.42
1684800000,4.44
1684886400,4.5
1684972800,4.36
1685059200,4.39
1685404800,4.6
1685491200,4.59
1685577600,4.51
1685664000,4.45
1685923200,4.5
1686009600,4.27
1686096000,4.52
1686182400,4.38
1686268800,4.41
1686528000,4.32
1686614400,4.32
1686700800,4.32
1686787200,4.19
1686873600,4.27
1687219200,4.49
1687305600,4.73
1687392000,5
1687478400,4.99
1687737600,5.08
1687824000,5.05
1687910400,5.13
1687996800,5.03
1688083200,5.09
1688342400,5.15
1688515200,5.17
1688601600,5.12
1688688000,5.02
1688947200,5.07
1689033600,5.12
1689120000,5.16
1689206400,5.12
1689292800,5.31
1689552000,5.08
1689638400,5.07
1689724800,5.03
1689811200,5.04
1689897600,5.02
1690156800,5.08
1690243200,4.93
1690329600,4.94
1690416000,4.96
1690502400,4.94
1690761600,4.96
1690848000,4.95
1690934400,5.03
1691020800,4.95
1691107200,4.96
1691366400,4.94
1691452800,4.96
1691539200,5.05
1691625600,5.01
1691712000,4.98
1691971200,4.96
1692057600,4.98
1692144000,4.95
1692230400,4.87
1692316800,4.52
1692576000,4.45
1692662400,4.44
1692748800,4.43
1692835200,4.49
1692921600,4.45
1693180800,4.44
1693267200,4.44
1693353600,4.71
1693440000,4.64
1693526400,4.41
1693872000,4.38
1693958400,4.38
1694044800,4.38
1694131200,4.46
1694390400,4.38
1694476800,4.26
1694563200,4.39
1694649600,4.46
1694736000,4.51
1694995200,4.5
1695081600,4.53
1695168000,4.62
1695254400,4.62
1695340800,4.52
1695600000,4.47
1695686400,4.49
1695772800,4.48
1695859200,4.5
1695945600,4.62
1696204800,4.8
1696291200,4.71
1696377600,4.7
1696464000,4.76
1696550400,4.69
1696809600,4.76
1696896000,4.7
1696982400,4.67
1697068800,4.59
1697155200,4.57
1697414400,4.64
1697500800,4.87
1697587200,4.85
1697673600,4.82
1697760000,4.88
1698019200,5.07
1698105600,5.61
1698192000,5.76
1698278400,5.88
1698364800,5.81
1698624000,5.86
1698710400,5.85
1698796800,5.89
1698883200,6.02
1698969600,5.93
1699228800,5.93
1699315200,5.93
1699401600,6.01
1699488000,6
1699574400,6.18
1699833600,6.22
1699920000,6.12
1700006400,5.95
1700092800,6.34
1700179200,6.05
1700438400,6.22
1700524800,6.23
1700611200,5.93
1700784000,6.17
1701043200,6.17
1701129600,6.14
1701216000,6.23
1701302400,6.22
1701388800,6.2
1701648000,6.55
1701734400,6.88
1701820800,7.22
1701907200,7.16
1701993600,7.07
1702252800,7.11
1702339200,6.71
1702425600,6.76
1702512000,6.98
1702598400,6.99
1702857600,6.7
1702944000,6.91
1703030400,6.84
1703116800,7.06
1703203200,7.08
1703548800,7.02
1703635200,6.84
1703721600,7
1703808000,6.85
1704153600,7.12
1704240000,7.23
1704326400,6.87
1704412800,7.04
1704672000,6.92
1704758400,7.4
1704844800,7.25
1704931200,7.32
1705017600,7.25
1705363200,6.62
1705449600,6.71
1705536000,6.66
1705622400,6.42
1705881600,6.47
1705968000,6.16
1706054400,6.21
