time,ExchangeNetflow
1589587200,9877.837839
1589673600,14145.15856
1589760000,18123.33399
1589846400,17251.14732
1589932800,17161.59727
1590019200,24417.44959
1590105600,11086.76071
1590192000,5988.816824
1590278400,13821.33004
1590364800,13157.84058
1590451200,9339.702286
1590537600,10709.1712
1590624000,16703.24157
1590710400,10401.12007
1590796800,11146.37763
1590883200,9423.199773
1590969600,18513.3782
1591056000,31136.99832
1591142400,9719.620605
1591228800,12649.54298
1591315200,10524.96821
1591401600,6056.976736
1591488000,10888.51941
1591574400,7436.358895
1591660800,10631.6304
1591747200,10423.65094
1591833600,23983.4509
1591920000,9730.706354
1592006400,4382.849352
1592092800,5367.17605
1592179200,17598.32475
1592265600,10256.21171
1592352000,8621.117195
1592438400,6020.83384
1592524800,7793.524517
1592611200,5051.671893
1592697600,2820.406842
1592784000,9992.307336
1592870400,7157.796479
1592956800,14372.3761
1593043200,12836.41942
1593129600,11245.3829
1593216000,7833.158365
1593302400,5801.970036
1593388800,7599.509102
1593475200,4940.102712
1593561600,7241.197345
1593648000,10292.1306
1593734400,5298.941063
1593820800,4324.678076
1593907200,6648.748697
1593993600,10698.68495
1594080000,8749.6587
1594166400,10324.61388
1594252800,8182.951223
1594339200,7089.95005
1594425600,3658.741995
1594512000,4933.012101
1594598400,6885.016041
1594684800,7148.022298
1594771200,6124.805438
1594857600,8444.48574
1594944000,5527.584299
1595030400,3425.354388
1595116800,3850.027535
1595203200,5785.37331
1595289600,10298.39068
1595376000,9608.644176
1595462400,14507.37794
1595548800,10915.50404
1595635200,8601.526142
1595721600,15838.61295
1595808000,44796.51066
1595894400,28275.67985
1595980800,19522.97023
1596067200,16299.53711
1596153600,16376.74508
1596240000,19183.27457
1596326400,24523.34867
1596412800,12406.61122
1596499200,10173.64278
1596585600,13451.28494
1596672000,14702.36687
1596758400,16912.35996
1596844800,8508.772349
1596931200,6447.359857
1597017600,14971.93934
1597104000,18499.51202
1597190400,10502.9375
1597276800,12638.81808
1597363200,9525.158729
1597449600,9303.287572
1597536000,6936.740592
1597622400,17520.93313
1597708800,15425.20094
1597795200,16638.70017
1597881600,8042.55608
1597968000,11793.69149
1598054400,6865.893479
1598140800,4578.743558
1598227200,6045.388583
1598313600,12907.96948
1598400000,9253.228067
1598486400,14076.86996
1598572800,9922.597133
1598659200,5141.094713
1598745600,6300.341902
1598832000,8593.718819
1598918400,14202.73566
1599004800,20063.59474
1599091200,29625.59189
1599177600,29356.69304
1599264000,26998.04918
1599350400,12110.17149
1599436800,14695.32899
1599523200,17604.19472
1599609600,9525.779088
1599696000,15053.94454
1599782400,8155.710192
1599868800,4553.835
1599955200,7771.473252
1600041600,11991.66514
1600128000,11798.28454
1600214400,13627.24428
1600300800,9253.50934
1600387200,6917.88484
1600473600,4508.695699
1600560000,5899.888114
1600646400,16137.59
1600732800,8091.201502
1600819200,9843.403132
1600905600,10607.51251
1600992000,9391.350264
1601078400,4672.0602
1601164800,1183.354892
1601251200,1702.451047
1601337600,1120.056401
1601424000,935.9979343
1601510400,2273.912035
1601596800,2010.656931
1601683200,617.2819057
1601769600,589.9408656
1601856000,947.2718426
1601942400,1811.969565
1602028800,1420.232854
1602115200,1920.369406
1602201600,1128.138687
1602288000,1515.943048
1602374400,950.393488
1602460800,1892.738448
1602547200,1397.78838
1602633600,1337.367535
1602720000,1861.098448
1602806400,1555.590292
1602892800,664.7624855
1602979200,673.8954595
1603065600,1257.628445
1603152000,2413.025231
1603238400,5195.06049
1603324800,3790.877853
1603411200,2035.379563
1603497600,1352.292859
1603584000,1338.618613
1603670400,1854.270356
1603756800,2547.329697
1603843200,3937.194408
1603929600,2412.386165
1604016000,2650.034091
1604102400,2557.042367
1604188800,1250.133514
1604275200,2157.679218
1604361600,2631.394823
1604448000,3123.621953
1604534400,4810.326486
1604620800,5513.841789
1604707200,4358.262527
1604793600,2444.35446
1604880000,3639.491967
1604966400,1185.601548
1605052800,1855.699632
1605139200,2379.816152
1605225600,1745.37743
1605312000,1143.776273
1605398400,977.8162643
1605484800,1743.215683
1605571200,3092.046043
1605657600,4259.501764
1605744000,2154.596935
1605830400,2196.179549
1605916800,2063.938946
1606003200,2374.280098
1606089600,2339.447005
1606176000,3393.98111
1606262400,2560.374096
1606348800,5595.761687
1606435200,2722.769487
1606521600,1842.584848
1606608000,1640.47664
1606694400,3640.111233
1606780800,3565.483552
1606867200,2575.896373
1606953600,1634.229359
1607040000,1795.369512
1607126400,914.8943575
1607212800,1110.144278
1607299200,1019.378491
1607385600,1367.697873
1607472000,1872.004102
1607558400,1255.917052
1607644800,1846.354524
1607731200,969.0120616
1607817600,1286.486822
1607904000,830.5823005
1607990400,1170.424172
1608076800,2690.347828
1608163200,5324.028939
1608249600,1721.908123
1608336000,1978.22978
1608422400,1688.074452
1608508800,3075.113335
1608595200,2196.047064
1608681600,3045.968725
1608768000,1787.55196
1608854400,2201.052468
1608940800,2781.268879
1609027200,4915.61632
1609113600,2223.685718
1609200000,2486.080464
1609286400,3097.205179
1609372800,2557.10506
1609459200,1672.604828
1609545600,5165.023459
1609632000,5674.961437
1609718400,7405.232853
1609804800,5222.379905
1609891200,5514.164553
1609977600,6417.762018
1610064000,7040.219799
1610150400,3405.507899
1610236800,5343.460028
1610323200,15510.10515
1610409600,6938.016911
1610496000,6127.997481
1610582400,3997.60872
1610668800,4823.488379
1610755200,3963.063088
1610841600,3449.095242
1610928000,2997.114168
1611014400,2610.727693
1611100800,3158.625736
1611187200,6943.040066
1611273600,6338.79035
1611360000,2873.257985
1611446400,2200.257026
1611532800,3202.244609
1611619200,3789.871189
1611705600,4476.705277
1611792000,3410.012996
1611878400,9461.051936
1611964800,3407.853996
1612051200,2427.42486
1612137600,3637.972585
1612224000,2920.855396
1612310400,2741.605809
1612396800,3597.007121
1612483200,2292.111383
1612569600,3882.294609
1612656000,2389.9682
1612742400,4971.547315
1612828800,4330.728547
1612915200,4351.849078
1613001600,4045.918835
1613088000,3356.018321
1613174400,2740.992218
1613260800,3359.469057
1613347200,3974.984614
1613433600,3599.853702
1613520000,3356.850828
1613606400,2183.183794
1613692800,3749.692011
1613779200,3394.872262
1613865600,2514.0234
1613952000,6125.324429
1614038400,8048.965053
1614124800,4816.750277
1614211200,3701.802367
1614297600,5329.771259
1614384000,2872.646407
1614470400,3940.178637
1614556800,3548.510266
1614643200,2936.944541
1614729600,3177.389439
1614816000,3624.176836
1614902400,3697.345569
1614988800,1949.153114
1615075200,2444.358498
1615161600,2710.991512
1615248000,3070.935815
1615334400,4049.505539
1615420800,3403.694415
1615507200,4031.037663
1615593600,4394.623184
1615680000,3084.339523
1615766400,5910.335182
1615852800,7410.490577
1615939200,5828.790269
1616025600,5073.74587
1616112000,3727.094342
1616198400,2746.529738
1616284800,3265.356498
1616371200,4219.995018
1616457600,4374.340463
1616544000,6416.760246
1616630400,7242.64664
1616716800,4609.481929
1616803200,3634.735885
1616889600,3158.204527
1616976000,4413.631216
1617062400,3563.87315
1617148800,4921.458482
1617235200,3163.982131
1617321600,2553.764273
1617408000,2512.191096
1617494400,2069.146701
1617580800,3003.760434
1617667200,2964.861839
1617753600,5277.049064
1617840000,3175.604821
1617926400,3516.191047
1618012800,5533.506756
1618099200,3896.37426
1618185600,4611.409014
1618272000,6906.310253
1618358400,7696.509177
1618444800,4709.824271
1618531200,8295.325239
1618617600,5367.429793
1618704000,11485.97101
1618790400,7721.306905
1618876800,8677.75606
1618963200,6240.821918
1619049600,8879.160163
1619136000,8885.070604
1619222400,4833.417447
1619308800,4805.346641
1619395200,6695.129349
1619481600,4344.222913
1619568000,4801.046186
1619654400,4356.051772
1619740800,5000.475573
1619827200,3639.789666
1619913600,3508.524288
1620000000,4780.433872
1620086400,7079.558047
1620172800,6154.551585
1620259200,6418.750561
1620345600,6550.041578
1620432000,5872.021026
1620518400,5830.153824
1620604800,8151.258258
1620691200,6867.993539
1620777600,9545.098734
1620864000,10032.97513
1620950400,5450.843612
1621036800,7795.085294
1621123200,9409.630343
1621209600,11722.79249
1621296000,9551.681224
1621382400,21800.5734
1621468800,12863.4529
1621555200,13365.87412
1621641600,10179.56518
1621728000,14558.40212
